,name,equipment,primaryMuscleGroups,primaryMuscles,secondaryMuscleGroups,type,tags,instructions
0,conventional deadlift,barbell,"['legs', 'back']","['gluteal muscles', 'quadriceps', 'latissimus dorsi', 'erector spinae', 'trapezius', 'hamstrings']",['core'],compound,['powerlifting'],"Set up with your shins approximately an inch away from the barbell, at a width slightly narrower than shoulder width apart. Your feet should be pointing straight forwards or very slightly outwards. Grip the bar outside of your knees with straight arms. Set your hips to a comfortable height and push your knees outwards. Brace your back by depressing and retracting your scapula, and brace your core after breathing in. Push with your legs while maintaining your torso angle to lift the bar, staying braced and finish the lift by pushing your hips through and flexing the glutes to stand up straight."
1,sumo deadlift,barbell,"['legs', 'back']","['gluteal muscles', 'quadriceps', 'adductors', 'latissimus dorsi', 'erector spinae', 'trapezius']",['core'],compound,['powerlifting'],"Set up close to the barbell with your feet set wide, and your feet pointing outwards. Set your grip on the barbell, gripping inside of your knees with straight arms. Set your hips to a comfortable height and push your knees outwards to align with your foot angle. Brace your back by depressing and retracting your scapula, and brace your core after breathing in. Push with your legs while maintaining your torso angle to lift the bar, staying braced and finish the lift by pushing your hips through and flexing the glutes to stand up straight."
2,barbell shrug,barbell,['back'],['trapezius'],[],isolation,[],Stand up straight gripping the barbell with straight arms and relaxed shoulders. Retract your scapula and evelate the shoulders as high as possible before returning to the starting position with relaxed shoulders.
3,yates row,barbell,['back'],"['latissimus dorsi', 'trapezius']",['arms'],compound,[],"Set your feet and shoulder width apart, and grip the barbell with an underhand grip at a comfortable width outside of your knees. Brace your core and lift the bar off the ground to knee height with straight arms, a straight back and a torso angle of approximately 90 degrees. Row the barbell towards your body by driving your elbows back, maintaining the same back angle, making contact with your stomach then returning the bar to its original position at knee height."
4,pendlay row,barbell,['back'],"['latissimus dorsi', 'trapezius']",['arms'],compound,[],"Set your feet and shoulder width apart, and grip the barbell at a comfortable width outside of your knees. Brace your core. Row the barbell from the floor towards your body by driving your elbows up while maintaining a straight back and the same back angle, making contact with your stomach then returning the bar to the ground."
5,low cable row,cable,['back'],"['latissimus dorsi', 'trapezius']",['arms'],compound,[],Grip the cable attachment with straight arms of a low cable and stand shoulder width apart. Bend at the knees and hips to achieve an inclined torso angle. Row the cable attachment towards your body by driving your elbows back until it touches your stomach while maintaining a flat back and the same torso angle. Return the cable attachment to its starting position.
6,chest supported row,machine,['back'],"['latissimus dorsi', 'trapezius']",['arms'],compound,[],"Sit on the machine seat and support your chest on the chest pad. Grab the machine handles, keeping your arms straight. Row the handles towards your body by driving your elbow back as far as possible, keeping your chest supported on the pad. Return the handles to the starting position."
7,bench press,barbell,"['arms', 'chest']","['lower chest', 'triceps']",['shoulders'],compound,[],"Set your feet at a stable position and lie on a flat bench with the racked bar above your face. Place your hands slightly wider than shoulder width on the bar, ensuring the grip is even on both sides and the width is comfortable. Leverage yourself against the bar to retract and depress your scapula, and push with your legs to reinforce your lower back arch. Unrack the bar and bring it forward over your chest with straight arms. Lower the bar in a controlled manner until it touches your lower chest before pressing it back to its starting position, all while maintaining the same scapula position and lower back arch."
8,board press,barbell,"['arms', 'chest']","['lower chest', 'triceps']",['shoulders'],compound,['powerlifting'],"Set your feet at a stable position and lie on a flat bench with the racked bar above your face. Place your hands slightly wider than shoulder width on the bar, ensuring the grip is even on both sides and the width is comfortable. Have a partner hold a board in the middle of your chest. Leverage yourself against the bar to retract and depress your scapula, and push with your legs to reinforce your lower back arch. Unrack the bar and bring it forwards over your chest with straight arms. Lower the bar in a controlled manner until it touches the board, pause for a second before pressing it back to its starting position, all while maintaining the same scapula position and lower back arch."
9,larsen press,barbell,"['arms', 'chest']","['lower chest', 'triceps']",['shoulders'],compound,['powerlifting'],"Set your feet at a stable position and lie on a flat bench with the racked bar above your face. Place your hands slightly wider than shoulder width on the bar, ensuring the grip is even on both sides and the width is comfortable. Leverage yourself against the bar to retract and depress your scapula, and push with your legs to reinforce your lower back arch. Lift your feet off the floor and straighten your legs, maintaining your lower back position. Unrack the bar and bring it forward over your chest with straight arms. Lower the bar in a controlled manner until it touches your lower chest before pressing it back to its starting position, all while maintaining the same scapula position and lower back arch."
10,dumbbell bench press,dumbbells,"['arms', 'chest']","['lower chest', 'triceps']",['shoulders'],compound,[],Pick up the dumbbells and lie on a flat bench while lifting the dumbbells into position above your chest with straight arms. Retract and depress your scapula. Lower the dumbbells straight down to the sides of your chest before pressing them straight back up to their starting position.
11,chest press,machine,"['chest', 'arms']","['lower chest', 'triceps']",['shoulders'],compound,[],Sit on the seat of the machine and grip the machine handles beside your middle chest with bent elbows. Retract and depress your scapula. Press the machine handles horizontally away from your body until your arms are straight while maintaining your scapula position. Return the machine handles to the starting position beside your chest.
12,decline chest press,machine,"['chest', 'arms']","['lower chest', 'triceps']",['shoulders'],compound,[],Sit on the inclined seat of the machine and grip the machine handles beside your lower chest with bent elbows. Retract and depress your scapula. Press the machine handles horizontally away from your body until your arms are straight while maintaining your scapula position. Return the machine handles to the starting position beside your chest.
13,tricep dip,body weight,['arms'],['triceps'],"['shoulders', 'chest']",compound,[],"Place your hands on top of two dip bars at your sides with a neutral grip. Begin with your arms straight and scapula depressed, elevating your body upwards. Ensure there is enough room underneath you to lower your body into. Lower your body by bending the elbows and pointing them bakcwards. Once your upper arm is parallel or slightly beneath parallel to the ground, push your body back up by straightening your arms to reach the starting position."
14,smith machine bench press,smith machine,"['arms', 'chest']","['triceps', 'lower chest']",['shoulders'],compound,[],"Set your feet at a stable position and lie on a flat bench with the racked bar above the middle of your chest. Place your hands slightly wider than shoulder width on the bar, ensuring the grip is even on both sides and the width is comfortable. Leverage yourself against the bar to retract and depress your scapula, and push with your legs to reinforce your lower back arch. Unrack the bar with straight arms. Lower the bar in a controlled manner until it touches your chest before pressing it back to its starting position, all while maintaining the same scapula position and lower back arch."
15,front raise,dumbbells,['shoulders'],['anterior deltoid'],['back'],isolation,[],"Hold two dumbbells at your side with a pronated grip, standing up. Bend your elbows slightly. Without swinging your body. Raise the dumbbells up in front of you, keeping your scapula down and your elbow angle the same. Once the height of the dumbbells reach shoulder level, lower them back to the starting position with control."
16,rear lateral raise,dumbbells,['shoulders'],['posterior deltoid'],['back'],isolation,[],"Hold two dumbbells close together with a neutral grip. Bent slightly at the knees and hips to achieve a near horizontal torso angle. Keeping the same back angle and torso angle, raise the dumbbells up and to your sides until your upper arms are in-line with your torso. Optionally rotate your grip to a pronating grip during the motion. Return the dumbbells to the starting position."
17,cable lateral raise,cable,['shoulders'],['lateral deltoid'],['back'],isolation,[],"Grab the cable attachment of a low cable with one arm, standing sideways to the cable anchor point. Use your other arm to hold the cable machine, or something stable for support. Bend your elbow holding the cable attachment slightly. Without swinging your body. Raise the cable attachment across your body, up and out to your side, keeping your scapula down and your elbow angle the same. Once the height of the cable attachment reaches shoulder level, lower it back to the starting position with control."
18,machine reverse fly,machine,['shoulders'],['posterior deltoid'],['back'],isolation,[],"Sit on the machine seat with your chest against the chest support. Hold the machine handles in front of you with either a neutral or pronated grip depending on the machine with slightly bent elbows. While keeping your chest against the front pad and keeping your elbows high, pull the handles back until your arms are in line with your body or as far back as possible. Return the machine handles to the starting position in front of you."
19,upright row,barbell,['shoulders'],"['posterior deltoid', 'lateral deltoid', 'anterior deltoid']","['back', 'arms']",compound,[],"Hold onto a barbell with a pronated grip slightly within shoulder width and with straight arms. While keeping your scapula depressed, raise the bar to shoulder level, pointing your elbows outwards and upwards. Lower the barbell to the starting position with straight arms."
20,barbell wrist curl,dumbbells,['arms'],['forearm flexors'],[],isolation,[],"Grasp a barbell with a supinated grip and straight arms  at shoulder width while standing. Begin with relaxed wrists. Move the barbell slightly upwards and towards yourself by curling your wrist up as much as possible, keeping your arms straight. Lower the barbell slightly back to the starting position by relaxing your wrists."
21,dumbbell reverse wrist curl,dumbbells,['arms'],['forearm extensors'],[],isolation,[],"Grasp two dumbbells at your sides with a pronated grip and straight arms while standing. Begin with relaxed wrists. Move the dumbbells slightly upwards and towards yourself by curling your wrist up as much as possible, keeping your arms straight. Lower the dumbbells slightly back to the starting position by relaxing your wrists."
22,smith machine curl,smith machine,['arms'],['biceps'],[],isolation,[],"Hold the barbell in a smith machien with a shoulder width, supinated grip and straight arms. While keeping your back angle upright and preventing swinging, curl the barbell up by bending your arms at the elbows as far as they go. Lower the barbell back to the starting position."
23,dumbbell sumo squat,dumbbells,['legs'],"['gluteal muscles', 'quadriceps']",[],compound,[],Stand in a sumo stance with straight legs. Your feet should be wider than shoulder width apart and your toes should be pointing outwards. Hold a dumbbell with straight arms between your legs by one of its weighted sides. Squat down by bending at the knees and the hips until the dumbbell touches the ground. Stand back up with the weight to the starting position by extending the hips and knees until your torso angle and legs are straight.
24,dumbbell squat,dumbbells,['legs'],"['gluteal muscles', 'quadriceps']",[],compound,[],"Hold two dumbbells at your sides with straight arms. Set your feet at a comfortable width and angle, usually at shoulder width with toes pointed out slightly. Take a deep breath and brace your core. Squat down by bending at the hips and knees to a comfortable depth, allowing your torso to lean forwards slighty and keeping the dumbbells in line with the middle of your foot. Aim for your thighs to be parallel or beneath parallel to the floor. Stand back up with the weight to the starting position by extending the hips and knees until your torso angle and legs are straight."
25,standing hip adduction,cable,['legs'],['adductors'],[],isolation,[],"Stand beside a low cable machine with a cuff attachment attached to your foot or ankle closer to the machine. Stand up straight on your leg without the cuff, and step away from the machine to create tension in the cable. Use your hands to stabilise yourself. Allow the tension of the cable to raise your attached leg up and out to your side while keeping that leg straight. Bring your attached leg inwards and across your planted leg as much as possible before allowing it to return to its starting position."
26,machine deadlift,machine,"['legs', 'back']","['gluteal muscles', 'quadriceps', 'latissimus dorsi', 'erector spinae', 'trapezius', 'hamstrings']",['core'],compound,[],"Stand with your feet at, or within shoulder width, pointing straight forwards or very slightly outwards. Grip the machine handles at your sides. Set your hips to a comfortable height and push your knees outwards. Brace your back by depressing and retracting your scapula, and brace your core after breathing in. Push with your legs while maintaining your torso angle, staying braced and finish the lift by pushing your hips through and flexing the glutes to stand up straight."
27,body weight walking lunge,body weight,['legs'],"['gluteal muscles', 'quadriceps']",[],compound,[],"Stand straight with your feet together. Step forwards with one foot and lower your body by bending at the knees until the knee of your rear leg touches the floor. Keep your body upright throughout the motion. Stand back up and step forwards with your back leg so it is beside your front leg. Repeat this motion, reversing the roles of your left and right legs."
28,copenhagen hip adduction,body weight,['legs'],['adductors'],['core'],isolation,[],"Lie on your side, raising and supporting your torso on the forearm of the side you are lying on. Place the leg furthest from the floor on top of an elevated surface such that your body is horizontal or your leg is slightly above your torso level. Relax your other leg, allowing it to drop to the floor. Both of your legs should be straight. Raise your leg on the floor as high as you can to meet your raised leg before returing it to the floor with control."
29,crunch,body weight,['core'],['rectus abdominis'],[],isolation,[],"Lie with your back against the floor, your feet flat on the floor and bent knees. Without swinging, crunch your torso upwards, trying to raise your upper back off the floor as much as possible. Return your upper back to the floor."
30,hollow body,body weight,['core'],"['rectus abdominis', 'transverse abdominis']",[],isolation,['calisthenics'],"Lie on the floor, ensuring your lower back is completely against the floor. While keeping your legs straight, raise your legs slightly off the floor. Raise your upper back off the floor by putting your arms overhead or pushing them forwards at your sides. Ensure your lower back remains fully intact with the floor."
31,lying twisting knee raise,body weight,['core'],"['rectus abdominis', 'obliques']",[],isolation,[],"Lie with your back flat against the floor and straight legs. With your lower back flat against the floor, raise your knees towards your torso and to one side as much as you can while flexing your knees. Straighten and lower your legs back to the starting position. Repeat the motion, raising your knees towards the opposite side."
32,lying knee around the world,body weight,['core'],"['rectus abdominis', 'obliques']",[],isolation,[],"Lie with your back flat against the floor and straight legs. With your lower back flat against the floor, raise your knees towards your torso, beginning from one side in a circular motion. Lower your knees on the opposite side you raised them on and straighen your legs again. Repeat the motion, raising your knees starting at the opposite side."
